config_file,target_id,pdb_id,doc_id,assay_id,fragment_smiles,status,n_compounds_total,n_compounds_standardized,n_compounds_matched_2d,n_compounds_docked,n_conformers_docked,n_valid_poses,runtime_seconds,success_rate_2d,success_rate_rmsd,workflow_key,best_any_n_points,best_any_pearson,best_any_spearman,best_any_r2,rmsd_n_points,rmsd_pearson,rmsd_spearman,rmsd_r2,pct_failed_to_match
generated_configs/CHEMBL3983_5N84_CHEMBL3407417_CHEMBL3411333.yaml,CHEMBL3983,5N84,CHEMBL3407417,CHEMBL3411333,NC(=O)C1=CC=C(C2=CN=CN2)C=C1,SUCCESS,25,25,25,112,0,101,77.65154075622559,100.0,90.18,CHEMBL3983_5N84_CHEMBL3407417_CHEMBL3411333,25.0,-0.7662133154827557,-0.662175278842709,0.5870828448230769,25.0,-0.8216861679539211,-0.7307027204903846,0.6751681586067995,0.0
generated_configs/CHEMBL3983_3WZJ_CHEMBL3407417_CHEMBL3411333.yaml,CHEMBL3983,3WZJ,CHEMBL3407417,CHEMBL3411333,NC(=O)C1=CC=C(C2=CN=CN2)C=C1,SUCCESS,25,25,25,112,0,108,80.37083625793457,100.0,96.43,CHEMBL3983_3WZJ_CHEMBL3407417_CHEMBL3411333,25.0,-0.9037088508166322,-0.7283928067269799,0.816689687044318,25.0,-0.9037088508166322,-0.7283928067269799,0.816689687044318,0.0
generated_configs/CHEMBL2652_5TZA_CHEMBL4007409_CHEMBL4008514.yaml,CHEMBL2652,5TZA,CHEMBL4007409,CHEMBL4008514,C1=CN2N=CN=C2N=C1,SUCCESS,24,24,24,24,0,23,41.54340577125549,100.0,95.83,CHEMBL2652_5TZA_CHEMBL4007409_CHEMBL4008514,24.0,-0.4033726273265346,-0.5364527802746168,0.1627094764763113,23.0,-0.709103846674821,-0.7264409617992175,0.502828265369028,0.0
generated_configs/CHEMBL204_1MU6_CHEMBL1145961_CHEMBL816574.yaml,CHEMBL204,1MU6,CHEMBL1145961,CHEMBL816574,CCCNC1=NC=CN(CC(=O)NCC)C1=O,SUCCESS,30,30,30,76,0,70,69.10572600364685,100.0,92.11,CHEMBL204_1MU6_CHEMBL1145961_CHEMBL816574,30.0,-0.5430680798115481,-0.6908524542356951,0.294922939310202,30.0,-0.6291992964211913,-0.7246022435546026,0.3958917546169221,0.0
generated_configs/CHEMBL284_4G1F_CHEMBL2157947_CHEMBL2162559.yaml,CHEMBL284,4G1F,CHEMBL2157947,CHEMBL2162559,CC1=CC=CC=C1,SUCCESS,21,21,21,55,0,51,79.95245885848999,100.0,92.73,CHEMBL284_4G1F_CHEMBL2157947_CHEMBL2162559,21.0,-0.7065872588052484,-0.7430984477661732,0.4992655543059151,19.0,-0.671589091178871,-0.7161036231282066,0.4510319073904619,0.0
generated_configs/CHEMBL5465521_7UFV_CHEMBL5380828_CHEMBL5383577.yaml,CHEMBL5465521,7UFV,CHEMBL5380828,CHEMBL5383577,CCC(NC(=O)C1=CNN=C1C1=CC=CC=C1)C1=CC=CC=C1,SUCCESS,24,24,24,47,0,47,43.63417005538941,100.0,100.0,CHEMBL5465521_7UFV_CHEMBL5380828_CHEMBL5383577,24.0,-0.8626122692847344,-0.7156542734393782,0.7440999271205592,24.0,-0.8626122692847344,-0.7156542734393782,0.7440999271205592,0.0
generated_configs/CHEMBL2815_6D1Y_CHEMBL4308832_CHEMBL4309191.yaml,CHEMBL2815,6D1Y,CHEMBL4308832,CHEMBL4309191,CC1=NN(C2=CC=CC=C2)C(NC(=O)C2=CC=CC=C2Cl)=C1,SUCCESS,24,24,24,27,0,26,42.30553960800171,100.0,96.3,CHEMBL2815_6D1Y_CHEMBL4308832_CHEMBL4309191,24.0,-0.7514523755351771,-0.6458560083201119,0.5646806726974608,23.0,-0.6789925070350372,-0.7134025717111769,0.461030824609725,0.0
generated_configs/CHEMBL2000_6O1S_CHEMBL3886577_CHEMBL3888103.yaml,CHEMBL2000,6O1S,CHEMBL3886577,CHEMBL3888103,CC(=O)NCC1=C(C)N=C(N)C=C1,SUCCESS,180,180,178,405,0,353,182.41364812850952,98.89,87.16,CHEMBL2000_6O1S_CHEMBL3886577_CHEMBL3888103,178.0,-0.6879038361369736,-0.7037497307885707,0.4732116877719642,176.0,-0.6867076791387873,-0.7117112358012112,0.4715674365881796,1.1111111111111112
generated_configs/CHEMBL3820_4ISG_CHEMBL2346600_CHEMBL2353001.yaml,CHEMBL3820,4ISG,CHEMBL2346600,CHEMBL2353001,CCC(=O)NC1=NC=CS1,SUCCESS,48,48,48,64,0,58,66.03430318832397,100.0,90.62,CHEMBL3820_4ISG_CHEMBL2346600_CHEMBL2353001,48.0,-0.7544304396968526,-0.7467931220751424,0.5691652883411864,46.0,-0.70992721975269,-0.7023145279601418,0.5039966573457842,0.0
generated_configs/CHEMBL4361_6U65_CHEMBL4342462_CHEMBL4344313.yaml,CHEMBL4361,6U65,CHEMBL4342462,CHEMBL4344313,NC1=CC=CC=C1C(=O)O,SUCCESS,27,27,27,27,0,25,51.48351001739502,100.0,92.59,CHEMBL4361_6U65_CHEMBL4342462_CHEMBL4344313,27.0,-0.6716497481227383,-0.7171424293596917,0.4511133841533377,25.0,-0.6901059859372087,-0.6989805861170608,0.4762462718263669,0.0
